dataset,classifier,method,seed,accuracy,f1_pos,f1_macro,fnr,n_evals,time_s,best_params
BC,RF,Manual,42,0.9651162790697675,0.9508196721311475,0.9618963225520603,0.09375,1,2.277000021422282e-06,"{""n_estimators"": 100, ""max_features"": ""sqrt""}"
BC,RF,Manual,43,0.9651162790697675,0.9538461538461539,0.9629043853342919,0.03125,1,2.102999587805243e-06,"{""n_estimators"": 100, ""max_features"": ""sqrt""}"
BC,RF,Manual,44,0.9302325581395349,0.9,0.9232142857142858,0.15625,1,1.127000359701924e-06,"{""n_estimators"": 100, ""max_features"": ""sqrt""}"
BC,RF,Manual,45,0.9651162790697675,0.9523809523809523,0.962429008300568,0.0625,1,1.383000380883459e-06,"{""n_estimators"": 100, ""max_features"": ""sqrt""}"
BC,RF,Manual,46,0.9302325581395349,0.9090909090909091,0.9262435677530017,0.0625,1,1.5509999684581999e-06,"{""n_estimators"": 100, ""max_features"": ""sqrt""}"
BC,RF,Manual,47,0.9534883720930233,0.9375,0.9502314814814814,0.0625,1,1.514999894425273e-06,"{""n_estimators"": 100, ""max_features"": ""sqrt""}"
BC,RF,Manual,48,0.9883720930232558,0.9846153846153847,0.9876347951114306,0.0,1,1.5470000107598025e-06,"{""n_estimators"": 100, ""max_features"": ""sqrt""}"
BC,RF,Manual,49,0.9767441860465116,0.96875,0.9751157407407407,0.03125,1,2.4920000214478932e-06,"{""n_estimators"": 100, ""max_features"": ""sqrt""}"
BC,RF,Manual,50,0.9534883720930233,0.9354838709677419,0.9495601173020527,0.09375,1,1.8490000002202578e-06,"{""n_estimators"": 100, ""max_features"": ""sqrt""}"
BC,RF,Manual,51,0.9883720930232558,0.9841269841269841,0.9874763361001893,0.03125,1,1.7699999261822086e-06,"{""n_estimators"": 100, ""max_features"": ""sqrt""}"
BC,RF,Grid,42,0.9767441860465116,0.967741935483871,0.9747800586510265,0.0625,1080,638.2920641160003,"{""n_estimators"": 50, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": 0.5}"
BC,RF,Grid,43,0.9651162790697675,0.9538461538461539,0.9629043853342919,0.03125,1080,574.450944146,"{""n_estimators"": 50, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
